Id          ,Label              ,alternate_names                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,category ,modularity_class
PA451666    ,thioridazine       ,thioridazin ; thioridazine chloride ; thioridazine hcl ; thioridazine hydrochloride ; thoridazine hydrochloride ; thioridazine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               1
PA164747039 ,aprepitant         ,mk-0517 ; mk-869 ; aprepitant ; fosaprepitant ; aprepitant                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               2
PA450353    ,meloxicam          ,meloxicamum [latin] ; meloxicam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               5
PA449269    ,dextroamphetamine  ,(+)-(s)-amphetamine ; (+)-alpha-methylphenethylamine ; (+)-alpha-methylphenylethylamine ; (+)-amphetamine ; (+)-phenaminum ; (2s)-(+)-amphetamine ; (2s)-1-phenylpropan-2-amine ; (s)-1-phenyl-2-propanamine ; (s)-1-phenyl-2-aminopropane ; (s)-1-phenyl-2-propylamine ; (s)-(+)-amphetamine ; (s)-(+)-beta-phenylisopropylamine ; (s)-alpha-methylbenzeneethanamine ; (s)-alpha-methylphenethylamine ; (s)-alpha-phenylethylamine ; (s)-amphetamine ; 1-methyl-2-phenylethylamine ; d-(+)-amphetamine ; d-(s)-amphetamine ; d-1-phenyl-2-aminopropan ; d-1-phenyl-2-aminopropane ; d-2-amino-1-phenylpropane ; d-alpha-methylphenethylamine ; d-am ; d-amphetamine ; desamfetamina ; dexamfetamina [inn-spanish] ; dexamfetamine ; dexamfetaminum [inn-latin] ; dexamphetamine ; dexamphetaminum [inn-latin] ; dexanfetamina [inn-spanish] ; dextroamphetamine ; dextroamphetamine sulfate ; s(+)-amphetamine ; d-1-phenyl-2-aminopropan [german] ; dextroamphetamine                                                                                                            ,Chemical ,               3
PA451106    ,probenecid         ,probenicid ; probenecid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Chemical ,               4
PA451262    ,rivastigmine       ,ena 713 free base ; rivastigmine hydrogen tartrate ; rivastigmine ; rivastigmine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Chemical ,               2
PA450146    ,ketoconazole       ,2% ; ketocanazole ; ketoconazol ; ketoconazol [inn-spanish] ; ketoconazole [usan:ban:inn:jan] ; ketoconazolum [inn-latin] ; ketoconazole ; ketoconazole                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Chemical ,               2
PA451975    ,zolmitriptan       ,zmt ; zolmitriptan ; zolmitriptan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Chemical ,               3
PA451363    ,simvastatin        ,simvastatin [usan:ban:inn] ; simvastatina [spanish] ; simvastatine [french] ; simvastatinum [latin] ; simvastatin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Chemical ,               2
PA450985    ,piroxicam          ,ak1015 ; piroxicam ; piroxicam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               5
PA153619853 ,dronedarone        ,n-(2-butyl-3-{4-[3-(dibutylamino)propoxy]benzoyl}-5-benzofuranyl)-methanesulfonamide ; n-(2-butyl-3-{p-[3-(dibutylamino)propoxy]benzoyl}-5-benzofuranyl)methanesulfonamide ; sr 33589 ; sr 33589b ; sr 33589b ; sr-33598b ; dronedarone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Chemical ,               1
PA449599    ,fentanyl           ,fentanila [inn-spanish] ; fentanyl citrate ; fentanylum [inn-latin] ; fentanyl ; fentanyl                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               3
PA448498    ,astemizole         ,1-(p-fluorobenzyl)-2-({1-[2-(p-methoxyphenyl)ethyl]piperid-4-yl}amino)benzimidazole ; 1-(p-fluorobenzyl)-2-{[1-(p-methoxyphenethyl)-4-piperidyl]amino}benzimidazole ; astemizole                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Chemical ,               1
PA451168    ,protriptyline      ,protryptyline ; protriptyline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               3
PA450902    ,phendimetrazine    ,"""(+)-3,4-dimethyl-2-phenylmorpholine ; ""(+)-phendimetrazine ; ""(2s,3s)-3,4-dimethyl-2-phenylmorpholine ; ""3,4-dimethyl-2-phenylmorpholine ; ""3-phenyl-2-methylmorpholine ; ""d-2-phenyl-3,4-dimethylmorpholine"" ; phendimetrazine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               3
PA449646    ,flecainide         ,flecainida [inn-spanish] ; flecainide acetate ; flecainidum [inn-latin] ; flecainide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Chemical ,               1
PA449594    ,fenofibrate        ,fnf ; fenofibrato [inn-spanish] ; fenofibratum [inn-latin] ; finofibrate ; fenofibric acid ; fenofibrate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Chemical ,               5
PA448383    ,amiodarone         ,amiodarona [inn-spanish] ; amiodarone base ; amiodarone hcl ; amiodarone hydrochloride ; amiodaronum [inn-latin] ; amiodarone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               1
PA451565    ,sulindac           ,sulindac ; (z)-5-fluoro-2-methyl-1-((p-(methylsulfinyl)phenyl)methylene)-1h-indene-3-acetic acid ; (z)-5-fluoro-2-methyl-1-((p-(methylsulfinyl)phenyl)methylene)-1h-indene-3-acetic acid ; cis-5-fluoro-2-methyl-1-((4-(methylsulfinyl)phenyl)methylene)-1h-indene-3-acetic acid ; cis-5-fluoro-2-methyl-1-((p-methylsulfinyl)benzylidene)indene-3-acetic acid ; cis-5-fluoro-2-methyl-1-((p-methylsulfinyl)benzylidene)indene-3-acetic acid ; clinoril® ; sulindaco ; sulindacum ; sulindac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Chemical ,               5
PA450572    ,nabumetone         ,nabumetona ; nabumetonum [inn-latin] ; nabumetone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Chemical ,               5
PA451305    ,saquinavir         ,sqv ; saquinavir mesylate ; saquinavir ; saquinavir                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               2
PA448948    ,chloroquine        ,chloraquine ; chlorochine ; chloroquina ; chloroquine phosphate ; chloroquinium ; chlorquin ; clorochina ; hydroxychloroquine sulfate ; chloroquine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               1
PA451566    ,sumatriptan        ,np101 ; sumatriptan succinate ; sumatriptanum [inn-latin] ; estradiol ; sumatriptan ; triptan ; sumatriptan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Chemical ,               3
PA448018    ,acetazolamide      ,acetamidothiadiazolesulfonamide ; acetazolamid ; acetazolamide sodium ; acetazolamine ; acetazoleamide ; acetozalamide ; carbonic anhydrase inhibitor 6063 ; acetazolamide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               4
PA164743028 ,dihydroergotamine  ,"""9,10-dihydro-ergotamine ; ""dihidroergotamina [inn-spanish] ; ""dihydroergotamine mesylate ; ""dihydroergotamine methanesulfonate ; ""dihydroergotamine monomethanesulfonate ; ""dihydroergotaminum [inn-latin]"" ; dihydroergotamine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               2
PA449839    ,halofantrine       ,halofantrina [inn-spanish] ; halofantrine [usan] ; halofantrinum [inn-latin] ; halofantrine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Chemical ,               1
PA450347    ,mefenamic acid     ,acide mefenamique ; mefanamic acid ; mefenacid ; mefenaminsaeure ; mephenamic acid ; mephenaminic acid ; methenamic acid ; mefenamic acid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               5
PA134688071 ,atomoxetine        ,tomoxetina [spanish] ; tomoxetine ; tomoxetine [inn] ; tomoxetinum [latin] ; atomoxetine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Chemical ,               3
PA449313    ,diflunisal         ,"2-(hydroxy)-5-(2,4-difluorophenyl)benzoic acid ; 2',4'-difluoro-4-hydroxy-3-biphenylcarboxylic acid ; 5-(2,4-difluorophenyl)salicylic acid ; diflunisal"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               5
PA451112    ,procarbazine       ,ibz ; ibenzmethyzin ; ibenzmethyzine ; ibenzmethyzine hydrochloride ; mbh ; mih ; mih hydrochloride ; pcb ; pcb hydrochloride ; pcx ; procarbazin ; procarbazin [german] ; procarbazina [inn-spanish] ; procarbazine hydrochloride ; procarbazinum [inn-latin] ; procarbazine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               3
PA450484    ,metronidazole      ,methronidazole ; metronidazol ; metronidazole benzoate ; metronidazole hcl ; metronidazole in plastic container ; metronidazolo ; metronidazole                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               5
PA450603    ,nefazodone         ,nefazodona [spanish] ; nefazodone hcl ; nefazodone hydrochloride ; nefazodonum [latin] ; nefazodone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               2
PA449841    ,haloperidol        ,haloperidol ; 1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine ; 4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone ; 4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one ; 4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone ; 4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone ; gamma-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone ; haldol® ; haloperidolum ; mcn-jr-1625 ; r-1625 ; serenace® ; γ-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone ; haloperidol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               1
PA449072    ,cocaine            ,badrock ; bazooka ; benzoylethylecgonine ; benzoylmethylecgonine ; bernice ; bernies ; beta-cocain ; blast ; blizzard ; blow ; bouncing powder ; bump ; burese ; coc ; cabello ; candy ; carrie ; caviar ; cecil ; charlie ; chicken scratch ; cholly ; coca ; cocain ; cocaina ; cocaine free base ; cocaine-m ; cocktail ; coke ; cola ; corine ; d-pseudococaine ; dama blanca ; delcaine ; depsococaine ; dextrocaine ; dust ; eritroxilina ; erytroxylin ; flake ; flex ; florida snow ; foo foo ; freeze ; g-rock ; girl ; gold dust ; goofball ; green gold ; happy dust ; happy powder ; happy trails ; heaven ; hell ; isocaine ; isococain ; isococaine ; jam ; kibbles n' bits ; kokain ; kokan ; kokayeen ; l-cocain ; l-cocaine ; lady ; leaf ; methyl benzoylecgonine ; moonrocks ; neurocaine ; pimp's drug ; prime time ; rock ; sleighride ; snort ; star dust ; star-spangled powder ; sugar ; sweet stuff ; toke ; toot ; trails ; yeyo ; zip ; cocaine                                                                                                         ,Chemical ,               1
PA451721    ,tolmetin           ,tolmetin sodium ; tolmetina [dcit] ; tolmetine [inn-french] ; tolmetino [inn-spanish] ; tolmetinum [inn-latin] ; tolmetin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               5
PA448015    ,acetaminophen      ,apap ; paracetamol ; acetaminophen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Chemical ,               2
PA450965    ,pimozide           ,pimozida [inn-spanish] ; pimozidum [inn-latin] ; pimozide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               1
PA450112    ,isoniazid          ,hia ; hydrazid ; hydrazide ; inh ; isohydrazide ; isonicotinhydrazid ; isonicotinic acid hydrazide ; isonicotinic hydrazide ; isonicotinohydrazide ; isonicotinoyl hydrazide ; isonicotinyl hydrazide ; isonicotinyl hydrazine ; isonicotinylhydrazine ; isoniazid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Chemical ,               2
PA451209    ,quinidine          ,quinidine gluconate ; quinidine sulfate ; quinidine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               1
PA450264    ,lopinavir          ,abt-378 ; lpv ; lopinavir                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               2
PA448408    ,amphetamine        ,amfetamine ; alpha-methylbenzeneethaneamine ; 1-phenyl-2-aminopropane ; dl-amphetamine ; amphetamine ; beta-aminopropylbenzene                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               3
PA450403    ,methamphetamine    ,"d-desoxyephedrine ; ice ; (s)-n,alpha-dimethylbenzeneethanamine ; methylamphetamine ; n-methylamphetamine ; methyl-beta-phenylisopropylamine ; d-1-phenyl-2-methylaminopropane ; meth ; d-n-methylamphetamine ; methamphetamine ; d-methamphetamine ; d-phenylisopropylmethylamine ; d-deoxyephedrine ; (+)-(s)-n-alpha-dimethylphenethylamine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Chemical ,               3
PA450401    ,methadone          ,dl-methadone ; methadone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Chemical ,               1
PA450221    ,levothyroxine      ,"levothyroxine ; levothyroxin ; 3,3',5,5'-tetraiodo-l-thyronine ; o-(4-hydroxy-3,5-diidophenyl)-3,5-diiodo-l-tyrosine ; l-thyroxine ; levothyroxine sodium"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Chemical ,               5
PA451170    ,pseudoephedrine    ,pseudoephedrine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               3
PA451250    ,rifampin           ,rifampin ; rfp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               2
PA449015    ,citalopram         ,citalopram                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               1
PA448785    ,carbamazepine      ,carbamazepine ; cbz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               2
PA450149    ,ketoprofen         ,m-benzoylhydratropic acid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               5
PA449683    ,flurbiprofen       ,flurbiprofen ; flp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Chemical ,               5
PA10066     ,duloxetine         ,duloxetine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               3
PA451107    ,probucol           ,"""4,4'- (isopropylidenedithio)bis(2, 6-di-tert-butylphenol) ; ""4,4'-(isopropylidenedithio)bis(2, 6-di-tert-butylphenol) ; ""4,4'-(isopropylidenedithio)bis(2,6-di-tert-butylphenol) ; ""4,4'-(isopropylidenedithio)bis[2, 6-di-tert-butylphenol] ; ""acetone bis(3,5-di-tert-butyl-4-hydroxyphenyl) mercaptole ; ""acetone, bis (3,5-di-tert-butyl-4-hydroxyphenyl) mercaptole ; ""acetone, bis(3,5-di-tert-butyl-4-hydroxyphenyl) mercaptole ; ""probucolum [inn-latin]"" ; probucol"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Chemical ,               1
PA451866    ,venlafaxine        ,venlafaxina [inn-spanish] ; venlafaxine [inn:ban] ; venlafaxinum [inn-latin] ; venlafaxine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               3
PA449233    ,desipramine        ,dmi ; demethylimipramine ; desimipramine ; desimpramine ; desipramin ; desipramine hcl ; desmethylimipramine ; dezipramine ; dimethylimipramine ; methylaminopropyliminodibenzyl ; monodemethylimipramine ; norimipramine ; norpramine ; desipramine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Chemical ,               3
PA164748099 ,phentermine        ,"""(alpha,alpha)-dimethylphenethylamine ; ""phentermine hcl ; ""phentermine hydrochloride"" ; phentermine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               3
PA451791    ,trimipramine       ,trimeprimina [italian] ; trimeprimine ; trimipramina [inn-spanish] ; trimipraminum [inn-latin] ; beta-methylimipramine ; trimipramine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Chemical ,               3
PA10034     ,bosentan           ,bosentan hydrate ; bosentan ; bosentan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Chemical ,               2
PA449389    ,dofetilide         ,dofetilida [inn-spanish] ; dofetilidum [inn-latin] ; dofetilide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               1
PA450705    ,ondansetron        ,gr-38032f/gr-38032 ; odt032 ; ondansetron                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               1
PA450657    ,nortriptyline      ,"10,11-dihydro-n-methyl-5h-dibenzo[a,d]cycloheptene-delta(5,gamma)-propylamine ; 10,11-dihydro-n-methyl-5h-dibenzo[a,d]cycloheptene-delta(5,gamma)-propylamine ; 3-(10,11-dihydro-5h-dibenzo[a,d]cyclohepten-5-ylidene)-n-methyl-1-propanamine ; demethylamitriptyline ; desmethylamitriptyline ; nortriptyline"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Chemical ,               3
PA451472    ,sparfloxacin       ,"at-4140 ; ci-978 ; cis-5-amino-1-cyclopropyl-7-(3,5-dimethyl-1-piperazinyl)-6,8-difluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid ; zagam ; sparfloxacin ; spara ; sparfloxacin"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Chemical ,               1
PA450606    ,nelfinavir         ,1un ; nfv ; nlf ; nelfinavir mesylate ; ag1343 ; nelfinavir                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Chemical ,               2
PA448964    ,chlorpromazine     ,"cpz ; 3-(2-chloro-10h-phenothiazin-10-yl)-n,n-dimethyl-1-propanamine ; 3-(2-chlorophenothiazin-10-yl)-n,n-dimethyl-propan-1-amine ; chlorpromazine hcl ; largactil® ; n-(3-dimethylaminopropyl)-3-chlorophenothiazine ; thorazine® ; chlorpromazine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Chemical ,               1
PA451955    ,zileuton           ,zileutonum [inn-latin] ; zileuton ; zileuton                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Chemical ,               6
PA451741    ,tranylcypromine    ,tranylcypromine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               3
PA134308647 ,rosuvastatin       ,zd-4522 ; rosuvastatin calcium ; rosuvastatin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               5
PA449293    ,diclofenac         ,diclofenac acid ; diclofenac potassium ; diclofenac sodium ; isv-205 ; diclofenac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Chemical ,               5
PA450595    ,naproxen           ,2-(6-methoxy-2-naphthyl)propionic acid ; (+)-(s)-6-methoxy-alpha-methyl-2-naphthaleneacetic acid ; (+)-(s)-6-methoxy-α-methyl-2-naphthaleneacetic acid ; (+)-(s)-naproxen ; (+)-2-(6-methoxy-2-naphthyl)propionic acid ; (+)-2-(methoxy-2-naphthyl)-propionic acid ; (+)-2-(methoxy-2-naphthyl)-propionsäure ; (+)-naproxen ; (s)-(+)-2-(6-methoxy-2-naphthyl)propionic acid ; (s)-(+)-naproxen ; (s)-2-(6-methoxy-2-naphthyl)propanoic acid ; (s)-2-(6-methoxy-2-naphthyl)propionic acid ; (s)-6-methoxy-alpha-methyl-2-naphthaleneacetic acid ; (s)-naproxen ; naproxen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               5
PA451264    ,rizatriptan        ,mk 462 free base ; risatriptan ; rizatriptan benzoat ; rizatriptan benzoate ; rizatriptan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               3
PA450085    ,irinotecan         ,irinotecan hcl ; irinotecan hydrochloride ; irinotecan hydrochloride trihydrate ; irinotecanum [inn-latin] ; irinotecan ; irinotecan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Chemical ,               2
PA451457    ,sotalol            ,sotalol hcl ; sotalol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Chemical ,               1
PA448966    ,chlorpropamide     ,chlorporpamide ; chlorpropamide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Chemical ,               4
PA449493    ,erythromycin       ,em ; erythrocin ; erythrocin stearate ; erythromycin stearate ; erythromycin estolate ; erythromycin ethylsuccinate ; erythromycin glucoheptonate ; erythromycin lactobionate ; erythromycin oxime ; erythromycin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Chemical ,               1
