Id           ,Label                                                    ,category ,modularity_class_diseases
DOID:10773   ,bubonic plague                                           ,Disease  ,                       12
PA444253     ,gastroenteritis                                          ,Disease  ,                       12
PA446721     ,"pneumonia, bacterial"                                   ,Disease  ,                       12
DOID:1019    ,osteomyelitis                                            ,Disease  ,                       12
PA445672     ,sinusitis                                                ,Disease  ,                       12
DOID:2123    ,tularemia                                                ,Disease  ,                       12
PA443247     ,acne vulgaris                                            ,Disease  ,                       12
DOID:10921   ,siberian tick typhus                                     ,Disease  ,                       12
DOID:8596    ,scarlet fever                                            ,Disease  ,                       12
DOID:7475    ,diverticulitis                                           ,Disease  ,                       12
DOID:8504    ,impetigo                                                 ,Disease  ,                       12
PA445165     ,psittacosis                                              ,Disease  ,                       12
PA444267     ,giardiasis                                               ,Disease  ,                        4
DOID:782     ,kidney infection                                         ,Disease  ,                       12
PA165108379  ,queensland tick typhus                                   ,Disease  ,                       12
DOID:869     ,cholesteatoma                                            ,Disease  ,                       12
PA443829     ,cystic fibrosis                                          ,Disease  ,                       12
DOID:12384   ,dysentery                                                ,Disease  ,                       12
PA443597     ,candidiasis                                              ,Disease  ,                        7
DOID:13146   ,esophageal candidiasis                                   ,Disease  ,                        7
DOID:0050052 ,rocky mountain spotted fever                             ,Disease  ,                       12
DOID:1579    ,respiratory disease                                      ,Disease  ,                       12
DOID:7551    ,gonorrhea                                                ,Disease  ,                       12
PA445196     ,otitis media                                             ,Disease  ,                       12
PA165109103  ,amoebic dysentery                                        ,Disease  ,                       12
PA445970     ,typhoid fever                                            ,Disease  ,                       12
PA444745     ,leprosy                                                  ,Disease  ,                       12
PA443945     ,duodenal ulcer                                           ,Disease  ,                       13
DOID:12385   ,shigellosis                                              ,Disease  ,                       12
PA166048776  ,mycobacterium avium-intracellulare infection             ,Disease  ,                       12
PA443749     ,colitis                                                  ,Disease  ,                        0
DOID:1343    ,urethritis                                               ,Disease  ,                       12
DOID:11337   ,lemierre's syndrome                                      ,Disease  ,                       12
PA166048755  ,babesiosis                                               ,Disease  ,                       12
PA444280     ,glanders                                                 ,Disease  ,                       12
DOID:2297    ,leptospirosis                                            ,Disease  ,                       12
DOID:11330   ,erysipelas                                               ,Disease  ,                       12
PA443517     ,blepharitis                                              ,Disease  ,                       12
PA445047     ,nasopharyngitis                                          ,Disease  ,                       12
PA445960     ,"tuberculosis, pulmonary"                                ,Disease  ,                       12
PA443570     ,bronchitis                                               ,Disease  ,                       12
PA445829     ,tetanus                                                  ,Disease  ,                       12
PA445992     ,urinary tract infections                                 ,Disease  ,                       12
DOID:2799    ,bronchiolitis obliterans                                 ,Disease  ,                       12
DOID:104     ,bacterial infectious disease                             ,Disease  ,                       12
PA445913     ,trachoma                                                 ,Disease  ,                       12
DOID:0050242 ,primary amebic meningoencephalitis                       ,Disease  ,                        7
DOID:6195    ,conjunctivitis                                           ,Disease  ,                       12
DOID:2112    ,cystoisosporiasis                                        ,Disease  ,                       12
DOID:11976   ,botulism                                                 ,Disease  ,                       12
PA443822     ,cryptosporidiosis                                        ,Disease  ,                       12
PA446023     ,vasculitis                                               ,Disease  ,                        0
DOID:4762    ,vasculogenic impotence                                   ,Disease  ,                        0
PA443894     ,diabetic neuropathies                                    ,Disease  ,                       16
PA443671     ,brain ischemia                                           ,Disease  ,                        0
PA444628     ,intermittent claudication                                ,Disease  ,                        0
PA443891     ,diabetic angiopathies                                    ,Disease  ,                        0
PA446391     ,"malaria, cerebral"                                      ,Disease  ,                        0
PA443425     ,arteriosclerosis                                         ,Disease  ,                        3
DOID:288     ,adenomyosis                                              ,Disease  ,                        0
PA445920     ,trichinosis                                              ,Disease  ,                        4
PA166048928  ,dracunculiasis                                           ,Disease  ,                        4
PA166048863  ,strongyloidiasis                                         ,Disease  ,                        4
DOID:883     ,parasitic helminthiasis infectious disease               ,Disease  ,                        4
PA444283     ,glioblastoma                                             ,Disease  ,                        1
DOID:3078    ,anaplastic astrocytoma                                   ,Disease  ,                        1
PA443557     ,brain neoplasms                                          ,Disease  ,                        1
DOID:5076    ,mixed glioma                                             ,Disease  ,                        1
PA444903     ,melanoma                                                 ,Disease  ,                        1
DOID:7007    ,childhood cerebral astrocytoma                           ,Disease  ,                        1
DOID:5077    ,subependymal giant cell astrocytoma                      ,Disease  ,                        1
PA444560     ,hypertrichosis                                           ,Disease  ,                        7
DOID:10112   ,african trypanosomiasis                                  ,Disease  ,                        7
PA444807     ,long qt syndrome                                         ,Disease  ,                        3
PA444370     ,heart failure                                            ,Disease  ,                        3
DOID:10763   ,arterial hypertension                                    ,Disease  ,                        3
PA445019     ,myocardial infarction                                    ,Disease  ,                        3
PA444184     ,fibrosarcoma                                             ,Disease  ,                        1
DOID:8654    ,"hodgkin's lymphoma, mixed cellularity"                  ,Disease  ,                        1
PA445551     ,rhabdomyosarcoma                                         ,Disease  ,                        1
DOID:1798    ,islet cell carcinoma                                     ,Disease  ,                        1
PA445594     ,sarcoma                                                  ,Disease  ,                        1
PA445100     ,neuroblastoma                                            ,Disease  ,                        1
PA444942     ,methemoglobinemia                                        ,Disease  ,                        0
PA443340     ,anemia                                                   ,Disease  ,                        0
DOID:13724   ,scurvy                                                   ,Disease  ,                        0
PA443766     ,common cold                                              ,Disease  ,                        0
DOID:0050727 ,tyrosinemia type iii                                     ,Disease  ,                        0
PA166048865  ,maxillary sinusitis                                      ,Disease  ,                       12
PA445318     ,phlebitis                                                ,Disease  ,                        3
PA443459     ,atrial fibrillation                                      ,Disease  ,                        3
PA445850     ,thrombosis                                               ,Disease  ,                        3
DOID:3875    ,thrombophlebitis                                         ,Disease  ,                        3
PA443367     ,fabry disease                                            ,Disease  ,                        3
PA444787     ,lipidoses                                                ,Disease  ,                        3
PA443970     ,dystonia                                                 ,Disease  ,                       16
PA443673     ,cerebral palsy                                           ,Disease  ,                       16
PA444949     ,migraine without aura                                    ,Disease  ,                        0
PA445750     ,strabismus                                               ,Disease  ,                       16
PA444403     ,hemiplegia                                               ,Disease  ,                       16
PA445676     ,skin diseases                                            ,Disease  ,                        0
PA443519     ,blepharospasm                                            ,Disease  ,                       16
PA447098     ,dystonic disorders                                       ,Disease  ,                       16
PA443513     ,"urinary bladder, neurogenic"                            ,Disease  ,                       16
DOID:6364    ,migraine                                                 ,Disease  ,                       16
PA445515     ,renal osteodystrophy                                     ,Disease  ,                       13
PA445425     ,prostatic neoplasms                                      ,Disease  ,                        1
PA444513     ,hypercalcemia                                            ,Disease  ,                        0
PA445190     ,osteoporosis                                             ,Disease  ,                       13
PA444086     ,erythema nodosum                                         ,Disease  ,                        0
DOID:4464    ,bellini duct carcinoma                                   ,Disease  ,                        0
PA443331     ,amyloidosis                                              ,Disease  ,                        0
PA446152     ,"leprosy, lepromatous"                                   ,Disease  ,                        0
PA444850     ,waldenstrom macroglobulinemia                            ,Disease  ,                        1
DOID:0060192 ,crohn's colitis                                          ,Disease  ,                        0
PA443815     ,crohn disease                                            ,Disease  ,                        0
PA444820     ,"lupus erythematosus, cutaneous"                         ,Disease  ,                        0
DOID:0050747 ,waldenström macroglobulinemia                            ,Disease  ,                        0
PA444985     ,multiple myeloma                                         ,Disease  ,                        0
PA445015     ,primary myelofibrosis                                    ,Disease  ,                        0
DOID:9663    ,aphthous stomatitis                                      ,Disease  ,                        0
PA445013     ,myelodysplastic syndromes                                ,Disease  ,                        0
PA443434     ,"arthritis, rheumatoid"                                  ,Disease  ,                        0
DOID:3309    ,neurodermatitis                                          ,Disease  ,                        0
DOID:13241   ,behçet's disease                                         ,Disease  ,                        0
PA446500     ,pyoderma gangrenosum                                     ,Disease  ,                        0
PA165108127  ,erythrasma                                               ,Disease  ,                       12
PA444414     ,hemophilia a                                             ,Disease  ,                        0
PA446053     ,von willebrand disease                                   ,Disease  ,                        0
PA166048842  ,factor vii deficiency                                    ,Disease  ,                        0
PA166224501  ,eosinophilic esophagitis                                 ,Disease  ,                       12
DOID:1352    ,paranasal sinus disease                                  ,Disease  ,                       12
PA445557     ,rhinitis                                                 ,Disease  ,                       12
PA446851     ,multiple system atrophy                                  ,Disease  ,                       16
DOID:1289    ,neurodegeneration                                        ,Disease  ,                       16
PA445254     ,parkinson disease                                        ,Disease  ,                       16
PA443984     ,eclampsia                                                ,Disease  ,                        3
PA444368     ,heart diseases                                           ,Disease  ,                        3
DOID:3128    ,anal disease                                             ,Disease  ,                        3
PA165108893  ,prinzmetal angina                                        ,Disease  ,                        3
PA166048835  ,toxocariasis                                             ,Disease  ,                        4
DOID:3107    ,toxascariasis                                            ,Disease  ,                        4
DOID:1252    ,trichuriasis                                             ,Disease  ,                        4
PA444952     ,mite infestations                                        ,Disease  ,                        4
PA165109020  ,merkel cell carcinoma                                    ,Disease  ,                        1
PA443622     ,"carcinoma, non-small-cell lung"                         ,Disease  ,                        1
PA444840     ,lymphoma                                                 ,Disease  ,                        0
DOID:4908    ,anal carcinoma                                           ,Disease  ,                        1
PA443512     ,urinary bladder neoplasms                                ,Disease  ,                        1
PA443627     ,"carcinoma, transitional cell"                           ,Disease  ,                        1
DOID:0050865 ,tongue squamous cell carcinoma                           ,Disease  ,                        1
DOID:5520    ,head and neck squamous cell carcinoma                    ,Disease  ,                        1
DOID:2531    ,hematologic cancer                                       ,Disease  ,                        1
PA443756     ,colonic neoplasms                                        ,Disease  ,                        1
DOID:5157    ,benign pleural mesothelioma                              ,Disease  ,                        1
DOID:3907    ,squamous cell carcinoma of the lung                      ,Disease  ,                        1
PA444760     ,"leukemia, myeloid, acute"                               ,Disease  ,                        0
DOID:2645    ,benign mesothelioma                                      ,Disease  ,                        1
PA444685     ,kidney neoplasms                                         ,Disease  ,                        1
PA443624     ,"carcinoma, renal cell"                                  ,Disease  ,                        1
DOID:4467    ,renal clear cell carcinoma                               ,Disease  ,                        1
DOID:4006    ,bladder urothelial carcinoma                             ,Disease  ,                        1
PA444845     ,"lymphoma, non-hodgkin"                                  ,Disease  ,                        0
DOID:3904    ,bronchus carcinoma                                       ,Disease  ,                        1
PA160680212  ,"lymphoma, large b-cell, diffuse"                        ,Disease  ,                        0
PA446870     ,thrombophilia                                            ,Disease  ,                        3
PA445465     ,pulmonary embolism                                       ,Disease  ,                        3
DOID:74      ,hematopoietic system disease                             ,Disease  ,                        0
PA443670     ,cerebral infarction                                      ,Disease  ,                        3
DOID:224     ,transient cerebral isolation                             ,Disease  ,                        3
PA445538     ,retinoblastoma                                           ,Disease  ,                        1
PA445089     ,nephrotic syndrome                                       ,Disease  ,                        0
PA444822     ,"lupus erythematosus, systemic"                          ,Disease  ,                        0
PA444823     ,lupus nephritis                                          ,Disease  ,                        0
PA443580     ,burkitt lymphoma                                         ,Disease  ,                        1
DOID:12119   ,hemosiderosis                                            ,Disease  ,                        1
DOID:12132   ,granulomatosis with polyangiitis                         ,Disease  ,                        1
PA445828     ,testicular neoplasms                                     ,Disease  ,                        1
DOID:3459    ,breast carcinoma                                         ,Disease  ,                        1
PA446171     ,"leukemia, myelogenous, chronic, bcr-abl positive"       ,Disease  ,                        0
DOID:2871    ,endometrial carcinoma                                    ,Disease  ,                        1
DOID:3683    ,lung benign neoplasm                                     ,Disease  ,                        1
DOID:4648    ,familial retinoblastoma                                  ,Disease  ,                        1
DOID:718     ,autoimmune hemolytic anemia                              ,Disease  ,                        0
PA443560     ,breast neoplasms                                         ,Disease  ,                        1
PA445204     ,ovarian neoplasms                                        ,Disease  ,                        1
PA445597     ,"sarcoma, ewing's"                                       ,Disease  ,                        1
PA446169     ,"leukemia, lymphocytic, chronic, b-cell"                 ,Disease  ,                        0
PA445004     ,myasthenia gravis                                        ,Disease  ,                        0
DOID:1340    ,pure red-cell aplasia                                    ,Disease  ,                        1
PA445555     ,rheumatic diseases                                       ,Disease  ,                        0
DOID:8924    ,autoimmune thrombocytopenic purpura                      ,Disease  ,                        1
PA444987     ,multiple sclerosis                                       ,Disease  ,                       16
PA445010     ,mycosis fungoides                                        ,Disease  ,                        0
PA446540     ,cytomegalovirus retinitis                                ,Disease  ,                       16
DOID:10176   ,neuroretinitis                                           ,Disease  ,                       16
DOID:0080158 ,herpes simplex virus keratitis                           ,Disease  ,                       16
PA443697     ,chickenpox                                               ,Disease  ,                       16
PA446116     ,inflammatory bowel diseases                              ,Disease  ,                        7
DOID:750     ,peptic ulcer disease                                     ,Disease  ,                       13
PA444206     ,food hypersensitivity                                    ,Disease  ,                        7
PA444883     ,mastocytosis                                             ,Disease  ,                        7
PA445185     ,osteomalacia                                             ,Disease  ,                       13
DOID:8534    ,gastroesophageal reflux disease                          ,Disease  ,                       13
PA443532     ,bone diseases                                            ,Disease  ,                       13
PA444104     ,esophagitis                                              ,Disease  ,                       13
PA445001     ,musculoskeletal diseases                                 ,Disease  ,                       13
PA444540     ,hyperparathyroidism                                      ,Disease  ,                       13
PA165108536  ,nelson syndrome                                          ,Disease  ,                       13
PA165108437  ,vasomotor rhinitis                                       ,Disease  ,                       13
PA445999     ,urticaria                                                ,Disease  ,                       13
PA443371     ,angioedema                                               ,Disease  ,                       13
PA166114942  ,familial hypercholesterolemia                            ,Disease  ,                        3
DOID:1936    ,atherosclerosis                                          ,Disease  ,                        3
DOID:1168    ,familial hyperlipidemia                                  ,Disease  ,                        3
DOID:3146    ,lipid metabolism disorder                                ,Disease  ,                        3
PA443796     ,coronary artery disease                                  ,Disease  ,                        3
PA166048840  ,urethral obstruction                                     ,Disease  ,                        3
DOID:13948   ,bladder neck obstruction                                 ,Disease  ,                        3
DOID:10824   ,malignant hypertension                                   ,Disease  ,                        3
PA162355520  ,nephrolithiasis                                          ,Disease  ,                       13
PA443244     ,"acidosis, renal tubular"                                ,Disease  ,                       13
PA444573     ,hypokalemia                                              ,Disease  ,                        3
PA447194     ,agoraphobia                                              ,Disease  ,                       16
PA447212     ,panic disorder                                           ,Disease  ,                       16
DOID:4964    ,neurotic disorder                                        ,Disease  ,                       16
DOID:2055    ,post-traumatic stress disorder                           ,Disease  ,                       16
PA447196     ,anxiety disorders                                        ,Disease  ,                       16
DOID:14320   ,generalized anxiety disorder                             ,Disease  ,                       16
DOID:302     ,substance abuse                                          ,Disease  ,                       16
PA444449     ,hepatorenal syndrome                                     ,Disease  ,                        2
PA444095     ,esophageal and gastric varices                           ,Disease  ,                        2
PA165108205  ,pityriasis rosea                                         ,Disease  ,                        7
PA446488     ,"dermatitis, allergic contact"                           ,Disease  ,                        7
PA443879     ,"dermatitis, atopic"                                     ,Disease  ,                        7
PA443297     ,agranulocytosis                                          ,Disease  ,                        0
PA446304     ,"lymphoma, b-cell"                                       ,Disease  ,                        0
DOID:8800    ,lung carcinoma in situ                                   ,Disease  ,                        1
PA445220     ,pancreatitis                                             ,Disease  ,                       13
PA444632     ,intestinal diseases                                      ,Disease  ,                       13
PA166048887  ,irritable bowel syndrome                                 ,Disease  ,                        0
DOID:365     ,bladder disease                                          ,Disease  ,                       13
DOID:732     ,urethral disease                                         ,Disease  ,                       13
PA165109139  ,persistent fetal circulation syndrome                    ,Disease  ,                        3
PA445499     ,raynaud disease                                          ,Disease  ,                        3
PA165108505  ,arteriosclerosis obliterans                              ,Disease  ,                        3
DOID:12918   ,thromboangiitis obliterans                               ,Disease  ,                        3
PA166048911  ,causalgia                                                ,Disease  ,                        3
PA445617     ,"scleroderma, systemic"                                  ,Disease  ,                        3
PA444737     ,leiomyoma                                                ,Disease  ,                        1
PA444617     ,infertility                                              ,Disease  ,                       16
DOID:11132   ,prostatic hypertrophy                                    ,Disease  ,                        3
PA444040     ,endometriosis                                            ,Disease  ,                        0
PA443349     ,"anemia, megaloblastic"                                  ,Disease  ,                        4
DOID:10075   ,diphyllobothriasis                                       ,Disease  ,                        4
DOID:2361    ,macrocytic anemia                                        ,Disease  ,                        4
PA443352     ,"anemia, pernicious"                                     ,Disease  ,                       16
DOID:14183   ,alcoholic neuropathy                                     ,Disease  ,                       16
PA443364     ,"angina, unstable"                                       ,Disease  ,                        3
PA445846     ,thrombocytopenia                                         ,Disease  ,                        0
DOID:10127   ,cerebral artery occlusion                                ,Disease  ,                        3
PA446414     ,carotid stenosis                                         ,Disease  ,                        3
DOID:9408    ,acute myocardial infarction                              ,Disease  ,                        3
PA444645     ,ischemia                                                 ,Disease  ,                        3
DOID:14042   ,bipolar i disorder                                       ,Disease  ,                       16
PA447197     ,attention deficit disorder with hyperactivity            ,Disease  ,                       16
PA444966     ,motion sickness                                          ,Disease  ,                       13
PA444070     ,"epilepsy, absence"                                      ,Disease  ,                       16
DOID:10937   ,impulse control disorder                                 ,Disease  ,                       16
PA444066     ,"epilepsies, partial"                                    ,Disease  ,                       16
PA445864     ,tic disorders                                            ,Disease  ,                       16
PA447200     ,borderline personality disorder                          ,Disease  ,                       16
DOID:11832   ,visual epilepsy                                          ,Disease  ,                       16
PA166197121  ,covid-19                                                 ,Disease  ,                        0
PA444771     ,"leukoencephalopathy, progressive multifocal"            ,Disease  ,                       16
DOID:12098   ,trigeminal neuralgia                                     ,Disease  ,                       16
DOID:12129   ,bulimia nervosa                                          ,Disease  ,                       16
PA444065     ,epilepsy                                                 ,Disease  ,                       16
DOID:3324    ,mood disorder                                            ,Disease  ,                       16
PA166123368  ,schizoaffective disorder                                 ,Disease  ,                       16
DOID:308     ,early myoclonic encephalopathy                           ,Disease  ,                       16
PA445528     ,restless legs syndrome                                   ,Disease  ,                       16
DOID:10841   ,eastern equine encephalitis                              ,Disease  ,                        3
DOID:12995   ,conduct disorder                                         ,Disease  ,                       16
DOID:0050856 ,oppositional defiant disorder                            ,Disease  ,                       16
PA444020     ,"encephalitis, tick-borne"                               ,Disease  ,                       16
PA447294     ,"depression, postpartum"                                 ,Disease  ,                       16
PA445301     ,peripheral nervous system diseases                       ,Disease  ,                       16
PA445876     ,tobacco use disorder                                     ,Disease  ,                       16
PA443309     ,alcoholism                                               ,Disease  ,                       16
PA447211     ,obsessive-compulsive disorder                            ,Disease  ,                       16
DOID:11328   ,schizophreniform disorder                                ,Disease  ,                       16
PA445494     ,radiculopathy                                            ,Disease  ,                       16
PA447207     ,depressive disorder                                      ,Disease  ,                       16
PA444270     ,tourette syndrome                                        ,Disease  ,                       16
PA446215     ,"fatigue syndrome, chronic"                              ,Disease  ,                       16
PA443319     ,alzheimer disease                                        ,Disease  ,                       16
PA443430     ,arthritis                                                ,Disease  ,                        0
DOID:150     ,mental disorder                                          ,Disease  ,                       16
DOID:12401   ,intermittent explosive disorder                          ,Disease  ,                       16
DOID:0060040 ,pervasive developmental disorder                         ,Disease  ,                       16
DOID:6725    ,spinal stenosis                                          ,Disease  ,                       16
PA447216     ,schizophrenia                                            ,Disease  ,                       16
DOID:11257   ,social anxiety disorder                                  ,Disease  ,                       16
DOID:3223    ,complex regional pain syndrome                           ,Disease  ,                       16
PA447199     ,bipolar disorder                                         ,Disease  ,                       16
PA445736     ,status epilepticus                                       ,Disease  ,                       16
PA445093     ,nervous system diseases                                  ,Disease  ,                       16
PA447198     ,autistic disorder                                        ,Disease  ,                       16
DOID:10762   ,portal hypertension                                      ,Disease  ,                        3
PA444466     ,herpes zoster                                            ,Disease  ,                       16
DOID:3890    ,acute intermittent porphyria                             ,Disease  ,                       16
DOID:10843   ,western equine encephalitis                              ,Disease  ,                        3
PA152530886  ,eating disorders                                         ,Disease  ,                       16
PA446878     ,cocaine-related disorders                                ,Disease  ,                       16
PA447213     ,personality disorders                                    ,Disease  ,                       16
PA447006     ,essential tremor                                         ,Disease  ,                       16
DOID:0050432 ,asperger syndrome                                        ,Disease  ,                       16
PA443853     ,dementia                                                 ,Disease  ,                       16
PA445315     ,pheochromocytoma                                         ,Disease  ,                        3
PA443408     ,appendiceal neoplasms                                    ,Disease  ,                        1
DOID:0050922 ,gastrointestinal carcinoma                               ,Disease  ,                        1
PA445503     ,rectal neoplasms                                         ,Disease  ,                        1
DOID:5672    ,large intestine cancer                                   ,Disease  ,                        1
DOID:10020   ,ampulla of vater cancer                                  ,Disease  ,                        1
DOID:4907    ,small intestine carcinoma                                ,Disease  ,                        1
DOID:1996    ,rectum adenocarcinoma                                    ,Disease  ,                        1
DOID:2781    ,rectosigmoid cancer                                      ,Disease  ,                        1
DOID:4897    ,bile duct carcinoma                                      ,Disease  ,                        1
DOID:234     ,colon adenocarcinoma                                     ,Disease  ,                        1
DOID:3717    ,gastric adenocarcinoma                                   ,Disease  ,                        1
PA444465     ,herpes simplex                                           ,Disease  ,                       16
DOID:4074    ,pancreatic adenocarcinoma                                ,Disease  ,                        1
PA443433     ,"arthritis, juvenile rheumatoid"                         ,Disease  ,                        0
PA445379     ,polymyalgia rheumatica                                   ,Disease  ,                        0
PA444750     ,leukemia                                                 ,Disease  ,                        0
DOID:0080639 ,bone sarcoma                                             ,Disease  ,                        1
DOID:3234    ,central nervous system lymphoma                          ,Disease  ,                        0
PA446180     ,"leukemia, promyelocytic, acute"                         ,Disease  ,                        0
PA446477     ,polymyositis                                             ,Disease  ,                        0
PA445934     ,trophoblastic neoplasms                                  ,Disease  ,                        1
DOID:9212    ,pityriasis rubra pilaris                                 ,Disease  ,                        0
PA445601     ,osteosarcoma                                             ,Disease  ,                        1
PA445724     ,"spondylitis, ankylosing"                                ,Disease  ,                        0
PA444186     ,fibromyalgia                                             ,Disease  ,                        0
DOID:381     ,arthropathy                                              ,Disease  ,                        0
PA446010     ,uveitis                                                  ,Disease  ,                        0
PA444101     ,esophageal neoplasms                                     ,Disease  ,                        1
PA445273     ,pemphigus                                                ,Disease  ,                        0
PA445742     ,stomach neoplasms                                        ,Disease  ,                        1
PA445512     ,"arthritis, reactive"                                    ,Disease  ,                        0
DOID:8866    ,actinic keratosis                                        ,Disease  ,                        1
PA443780     ,connective tissue diseases                               ,Disease  ,                        0
PA445723     ,spondylitis                                              ,Disease  ,                        0
DOID:14087   ,medial epicondylitis                                     ,Disease  ,                        0
DOID:0060329 ,ectopic pregnancy                                        ,Disease  ,                        0
PA445818     ,giant cell arteritis                                     ,Disease  ,                        0
DOID:4398    ,acropustulosis                                           ,Disease  ,                        0
DOID:9600    ,plantar fasciitis                                        ,Disease  ,                        0
PA444318     ,gout                                                     ,Disease  ,                        0
DOID:1166    ,palindromic rheumatism                                   ,Disease  ,                        0
PA446198     ,"arthritis, psoriatic"                                   ,Disease  ,                        0
PA444352     ,head and neck neoplasms                                  ,Disease  ,                        1
PA446366     ,"still's disease, adult-onset"                           ,Disease  ,                        0
DOID:0060645 ,chronic recurrent multifocal osteomyelitis               ,Disease  ,                        0
PA443750     ,"colitis, ulcerative"                                    ,Disease  ,                        0
PA445272     ,"pemphigoid, bullous"                                    ,Disease  ,                        0
PA166048826  ,premenstrual syndrome                                    ,Disease  ,                        0
PA445451     ,psoriasis                                                ,Disease  ,                        0
PA445174     ,osteoarthritis                                           ,Disease  ,                        0
PA444675     ,keratosis                                                ,Disease  ,                        1
DOID:2965    ,bursitis                                                 ,Disease  ,                        0
DOID:3777    ,granuloma annulare                                       ,Disease  ,                        0
PA166048811  ,iritis                                                   ,Disease  ,                        0
PA445062     ,neoplasms                                                ,Disease  ,                        0
PA446147     ,"glomerulonephritis, membranous"                         ,Disease  ,                        0
DOID:1210    ,optic neuritis                                           ,Disease  ,                        0
PA446512     ,"lung diseases, interstitial"                            ,Disease  ,                        0
PA447058     ,"multiple sclerosis, relapsing-remitting"                ,Disease  ,                       16
PA445288     ,pericarditis                                             ,Disease  ,                        0
PA444854     ,macular edema                                            ,Disease  ,                        1
DOID:1205    ,allergy                                                  ,Disease  ,                        0
PA444977     ,mucocutaneous lymph node syndrome                        ,Disease  ,                        0
PA445903     ,toxoplasmosis                                            ,Disease  ,                       12
DOID:12236   ,primary biliary cirrhosis                                ,Disease  ,                        0
PA444546     ,hypersensitivity                                         ,Disease  ,                        0
