DrugBank ID	Name	SMILES	InChI	Generic Names	Wikidata URL
05219	crisaborole	B1(C2=C(CO1)C=C(C=C2)OC3=CC=C(C=C3)C#N)O	InChI=1S/C14H10BNO3/c16-8-10-1-3-12(4-2-10)19-13-5-6-14-11(7-13)9-18-15(14)17/h1-7,17H,9H2	Crisaborole ; AN2728 ; AN 2728 ; compound 5b [PMID: 19303290] ; Eucrisa	http://www.wikidata.org/entity/Q21098894
11828	neratinib	CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C	InChI=1S/C30H29ClN6O3/c1-4-39-28-16-25-23(15-26(28)36-29(38)9-7-13-37(2)3)30(20(17-32)18-34-25)35-21-10-11-27(24(31)14-21)40-19-22-8-5-6-12-33-22/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,34,35)(H,36,38)/b9-7+	HKI 272 ; HKI-272 ; Neratinib	http://www.wikidata.org/entity/Q6995920
00875	flupentixol	C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO	InChI=1S/C23H25F3N2OS/c24-23(25,26)17-7-8-22-20(16-17)18(19-4-1-2-6-21(19)30-22)5-3-9-27-10-12-28(13-11-27)14-15-29/h1-2,4-8,16,29H,3,9-15H2	4-[3-[2-(Trifluoromethyl)-9H-thioxanthen-9-ylidene]propyl]-1-piperazineethanol ; Depixol ; Fluanxol ; flupenthixol	http://www.wikidata.org/entity/Q27164953
00771	clidinium	C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O	InChI=1S/C22H26NO3/c1-23-14-12-17(13-15-23)20(16-23)26-21(24)22(25,18-8-4-2-5-9-18)19-10-6-3-7-11-19/h2-11,17,20,25H,12-16H2,1H3/q+1	Quarzan®	http://www.wikidata.org/entity/Q5132472
00334	olanzapine	CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C	InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3	LY-170053 ; Olanzapin ; Olanzapina ; Olanzapinum ; Zyprexa Zydis ; Olanzapine ; 2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine	http://www.wikidata.org/entity/Q201872
00816	metaproterenol	CC(C)NCC(C1=CC(=CC(=C1)O)O)O	InChI=1S/C11H17NO3/c1-7(2)12-6-11(15)8-3-9(13)5-10(14)4-8/h3-5,7,11-15H,6H2,1-2H3	Alupent® ; Metaproterenol ; orciprenaline ; Orciprenaline ; TH-152	http://www.wikidata.org/entity/Q416473
06779	dalteparin				http://www.wikidata.org/entity/Q1851701
04038	ergosterol	CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C	InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+/t19-,20+,22-,24+,25-,26-,27-,28+/m0/s1	24alpha-Methyl-22E-dehydrocholestero ; 24alpha-Methyl-22E-dehydrocholesterol ; 24R-Methylcholesta-5,7,22E-trien-3b-ol ; 24R-Methylcholesta-5,7,22E-trien-3beta-ol ; 24R-Methylcholesta-5,7,2E-trien-3beta-ol ; Ergosta-5,7,22-trien-3-ol, (3beta,22E)- ; Ergosta-5,7,22-trien-3beta-ol ; Ergosterin ; Ergosterol ; Provitamin D2 ; Provitamine D2 ; Ergosta-5,7,22-trien-3-ol ; (22E,24S)-24-methylcholesta-5,7,22-trien-3beta-ol ; (22E,24S)-24-methylcholesta-5,7,22-trien-3β-ol ; (22E)-Ergosta-5,7,22-trien-3-ol ; (24R)-Ergosta-5,7,22-trien-3b-ol ; (2R,5S,15R)-14-[(2R,3E,5R)-5,6-dimethylhept-3-en-2-yl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-7,9-dien-5-ol ; (3beta,22E)-Ergosta-5,7,22-trien-3-ol ; (3beta,2E)-Ergosta-5,7,22-trien-3-ol ; (3beta)-Ergosta-5,7,22-trien-3-ol ; (3S,9S,10R,13R,14R,17R)-10,13-dimethyl-17-[(E,1R,4R)-1,4,5-trimethylhex-2-enyl]-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol ; (3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol ; 24-Methylcholesta-5,7,22-trien-3b-ol ; 24-Methylcholesta-5,7,22-trien-3beta-ol ; 24a-Methyl-22E-dehydrocholesterol	http://www.wikidata.org/entity/Q143263
00742	D-(-)-mannitol	C(C(C(C(C(CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1	mannitol ; Mannitol ; (2R,3R,4R,5R)-Hexane-1,2,3,4,5,6-hexaol ; (2R,3R,4R,5R)-Hexane-1,2,3,4,5,6-hexol ; 1,2,3,4,5,6-Hexanehexol ; Aridol Kit ; Cordycepate ; Cordycepic acid ; D-Mannitol ; Diosmol ; dulcite ; e 421 ; e-421 ; e421 ; Fraxinine ; Hexahydroxyhexane ; Hexanhexol ; Invenex ; Isotol ; Manicol ; Manitol ; Maniton S ; Maniton-S ; Manna Sugar ; Mannazucker ; Mannidex ; Mannigen ; Mannistol ; Mannit ; Mannit p ; Mannite ; Mannitolum ; Mannogem 2080 ; Marine crystal ; Mushroom sugar ; Osmitrol ; Osmofundin ; Osmosal ; Resectisol ; SDM No. 35	http://www.wikidata.org/entity/Q407646
06151	acetylcysteine	CC(=O)NC(CS)C(=O)O	InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1	NAC ; Mercapturic acid ; 5052 ; N-acetylcysteine ; Acetadote ; (2R)-2-acetamido-3-sulfanylpropanoic acid ; (2R)-2-acetylamino-3-sulfanylpropanoic acid ; (2R)-2-acetylamino-3-Sulfanylpropanoic acid ; (R)-2-acetylamino-3-mercaptopropanoic acid ; (R)-2-acetylamino-3-Mercaptopropanoic acid ; (R)-mercapturic acid ; (R)-Mercapturic acid ; 2-Acetylamino-3-mercapto-propionate ; 2-Acetylamino-3-mercapto-propionic acid ; Acetilcisteina ; Acetylcysteine ; Acetylcysteinum ; Fluimicil Infantil ; Fluimucetin ; Flumucetin ; Fluprowit ; L-acetylcysteine ; L-Acetylcysteine ; L-alpha-acetamido-beta-Mercaptopropionic acid ; L-α-acetamido-β-mercaptopropionic acid ; Mucomyst ; Mucosil ; Mucosil-10 ; Mucosil-20 ; N-Acety-L-Cysteine ; N-Acetyl-3-mercaptoalanine ; N-acetyl-L-(+)-cysteine ; N-Acetyl-L-(+)-cysteine ; N-acetyl-L-cysteine ; N-Acetyl-L-Cysteine ; N-ACETYL-L-cysteine ; Sodium 2-acetamido-3-mercaptopropionate	http://www.wikidata.org/entity/Q375613
04540	cholesterol	CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1	(-)-Cholesterol ; (+)-ent-Cholesterol ; (1S,2R,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol ; (20bFH)-cholest-5-en-3b-ol ; (3b)-cholest-5-en-3-ol ; (3beta)-Cholest-5-en-3-ol ; (3β,14β,17α)-cholest-5-en-3-ol ; 20-Epi-cholesterol ; 20-Iso-cholesterol ; 20bFH-cholest-5-en-3b-ol ; 3beta-Hydroxycholest-5-ene ; 5-Cholesten-3B-ol ; 5-Cholesten-3beta-ol ; 5:6-Cholesten-3-ol ; 5:6-Cholesten-3beta-ol ; Cholest-5-en-3-ol ; Cholest-5-en-3b-ol ; Cholest-5-en-3beta-ol ; cholest-5-en-3β-ol ; Cholesterin ; Cholesterine ; Cholesterol base H ; Cholesteryl alcohol ; Cholestrin ; Cholestrol ; Cordulan ; Dastar ; Dusoline ; Dusoran ; Dythol ; Epicholesterin ; Epicholesterol ; Fancol CH ; Hydrocerin ; Kathro ; Lanol ; Liquid crystal CN/9 ; Nimco cholesterol base H ; Nimco cholesterol base No. 712 ; Super hartolan ; Tegolan	http://www.wikidata.org/entity/Q43656
01021	trichlormethiazide	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl	InChI=1S/C8H8Cl3N3O4S2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-14H,(H2,12,15,16)	Naqua® ; Trichlormethiazide	http://www.wikidata.org/entity/Q2072745
00228	enflurane	C(C(OC(F)F)(F)F)(F)Cl	InChI=1S/C3H2ClF5O/c4-1(5)3(8,9)10-2(6)7/h1-2H	Enflurane ; 2-chloro-1,1,2-trifluoroethyl difluoromethyl ether ; Alyrane ; Efrane ; Enflurano ; Enfluranum ; Ethrane ; Forane® ; HCFE-235ca2 ; Methylflurether	http://www.wikidata.org/entity/Q416740
04911	oritavancin				http://www.wikidata.org/entity/Q7102878
00983	formoterol	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O	InChI=1S/C19H24N2O4/c1-13(9-14-3-6-16(25-2)7-4-14)20-11-19(24)15-5-8-18(23)17(10-15)21-12-22/h3-8,10,12-13,19-20,23-24H,9,11H2,1-2H3,(H,21,22)	2'-hydroxy-5'-(1-hydroxy-2-((p-methoxy-alpha-methylphenethyl)amino)ethyl)formanilide ; 2'-Hydroxy-5'-(1-hydroxy-2-((P-methoxy-alpha-methylphenethyl)amino)ethyl)formanilide ; 2'-hydroxy-5'-{1-hydroxy-2-[(p-methoxy-alpha-methylphenethyl)amino]ethyl}formanilide ; 2'-Hydroxy-5'-{1-hydroxy-2-[(P-methoxy-alpha-methylphenethyl)amino]ethyl}formanilide ; BD-40A ; CGP-25827A ; FOR258 ; Foradil® ; Formoterol ; Formoterolum ; Foster ; N-[2-hydroxy-5-(1-hydroxy-2-{[2-(4-methoxyphenyl)-1-methylethyl]amino}ethyl)phenyl]formamide ; N-[2-Hydroxy-5-(1-hydroxy-2-{[2-(4-methoxyphenyl)-1-methylethyl]amino}ethyl)phenyl]formamide ; Oxeze/Oxis® ; YM-08316	http://www.wikidata.org/entity/Q637247
SALT001842	bosentan hydrate	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC.O	InChI=1S/C27H29N5O6S.H2O/c1-27(2,3)18-10-12-19(13-11-18)39(34,35)32-23-22(38-21-9-6-5-8-20(21)36-4)26(37-17-16-33)31-25(30-23)24-28-14-7-15-29-24;/h5-15,33H,16-17H2,1-4H3,(H,30,31,32);1H2	bosentan monohydrate	http://www.wikidata.org/entity/Q27114267
11820	nifurtimox				http://www.wikidata.org/entity/Q411582
08950	indoramin	C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43	InChI=1S/C22H25N3O/c26-22(17-6-2-1-3-7-17)24-19-11-14-25(15-12-19)13-10-18-16-23-21-9-5-4-8-20(18)21/h1-9,16,19,23H,10-15H2,(H,24,26)	Baratol® ; Doralese® ; Indoramin ; Indoramina ; indoramine ; Indoramine ; WY-21901	http://www.wikidata.org/entity/Q408963
00696	ergotamine	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C	InChI=1S/C33H35N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,15,17,21,25-27,34,42H,7,12-14,16,18H2,1-2H3,(H,35,39)/t21-,25-,26+,27+,32-,33+/m1/s1	(5'alpha)-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione ; (5'α)-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione ; 12'-hydroxy-2'-methyl-5'alpha-(phenylmethyl)ergotaman-3',6',18-trione ; 12'-Hydroxy-2'-methyl-5'alpha-(phenylmethyl)ergotaman-3',6',18-trione ; 12'-hydroxy-2'-methyl-5'α-(phenylmethyl)ergotaman-3',6',18-trione ; Cafergot® ; Ergomar® ; Ergotamin ; Ergotamina ; Ergotamine ; Ergotaminum ; Gynergen	http://www.wikidata.org/entity/Q419186
00292	etomidate	CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2	InChI=1S/C14H16N2O2/c1-3-18-14(17)13-9-15-10-16(13)11(2)12-7-5-4-6-8-12/h4-11H,3H2,1-2H3/t11-/m1/s1	Etomidate ; (+)-ethyl 1-(alpha-methylbenzyl)imidazole-5-carboxylate ; (+)-Ethyl 1-(alpha-methylbenzyl)imidazole-5-carboxylate ; (+)-ethyl 1-(α-methylbenzyl)imidazole-5-carboxylate ; (+)-etomidate ; (R)-(+)-1-(alpha-methylbenzyl)imidazole-5-carboxylic acid ethyl ester ; (R)-(+)-1-(alpha-Methylbenzyl)imidazole-5-carboxylic acid ethyl ester ; (R)-1-(1-phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester ; 3-((R)-1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester ; Amidate® ; D-etomidate ; Etomidato ; Etomidatum ; R 16659 ; R-(+)-ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate ; R-(+)-Ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate	http://www.wikidata.org/entity/Q418445
05039	indacaterol	CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC	InChI=1S/C24H28N2O3/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29)/t22-/m0/s1	5-[2-(5,6-diethylindan-2-ylamino)-1-hydroxyethyl]-8-hydroxy-1H-quinolin-2-one ; QAB 149 ; QAB-149 ; QAB149	http://www.wikidata.org/entity/Q425654
00017	salmon calcitonin				http://www.wikidata.org/entity/Q20801721
00450	droperidol	C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F	InChI=1S/C22H22FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-11H,3,6,12-15H2,(H,24,28)	1-{1-[3-(p-fluorobenzoyl)propyl]-1,2,3,6-tetrahydro-4-pyridyl}-2-benzimidazolinone ; 1-{1-[4-(4-fluoro-phenyl)-4-oxo-butyl]-1,2,3,6-tetrahydro-pyridin-4-yl}-1,3-dihydro-benzoimidazol-2-one ; 1-{1-[4-(4-fluorophenyl)-4-oxobutyl]-1,2,3,6-tetrahydro-4-pyridinyl}-2,3-dihydro-1H-benzo[d]imidazol-2-one ; 1-{1-[4-(p-fluorophenyl)-4-oxobutyl]-1,2,3,6-tetrahydro-4-pyridyl}-2-benzimidazolinone ; McN-JR-4749 ; R-4749	http://www.wikidata.org/entity/Q174259
01320	fosphenytoin	C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3	InChI=1S/C16H15N2O6P/c19-14-16(12-7-3-1-4-8-12,13-9-5-2-6-10-13)17-15(20)18(14)11-24-25(21,22)23/h1-10H,11H2,(H,17,20)(H2,21,22,23)	(3-Phosphoryloxymethyl)phenytoin ; ACC-9653-010 ; Cerebyx® ; CI-982 ; Fosfenitoina ; Fosphenytoin ; Fosphenytoine ; Fosphenytoinum	http://www.wikidata.org/entity/Q5473363
11575	grazoprevir	CC(C)(C)C1C(=O)N2CC(CC2C(=O)NC3(CC3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCCC7CC7OC(=O)N1	InChI=1S/C38H50N6O9S/c1-6-22-19-38(22,35(47)43-54(49,50)25-13-14-25)42-32(45)29-18-24-20-44(29)34(46)31(37(2,3)4)41-36(48)53-30-16-21(30)10-8-7-9-11-27-33(52-24)40-28-17-23(51-5)12-15-26(28)39-27/h6,12,15,17,21-22,24-25,29-31H,1,7-11,13-14,16,18-20H2,2-5H3,(H,41,48)(H,42,45)(H,43,47)/t21-,22-,24-,29+,30-,31-,38-/m1/s1	grazoprevir anhydrous ; MK-5172	http://www.wikidata.org/entity/Q19786991
00949	felbamate	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N	InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)	Felbamate ; 2-Phenyl-1,3-propanediol dicarbamate ; ADD 03055 ; carbamic acid 2-phenyltrimethylene ester ; Carbamic acid 2-phenyltrimethylene ester ; Carbamic acid 3-carbamoyloxy-2-phenyl-propyl ester ; Felbamato ; Felbamatum ; Felbatol® ; W 554	http://www.wikidata.org/entity/Q421301
08890	linaclotide	CC1C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)CNC(=O)C(NC2=O)C(C)O)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)O)C(=O)NC(CSSCC(C(=O)N3)N)C(=O)NC(C(=O)N5CCCC5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O	InChI=1S/C59H79N15O21S6/c1-26-47(82)69-41-25-101-99-22-38-52(87)65-33(13-14-45(80)81)49(84)66-34(16-28-5-9-30(76)10-6-28)50(85)71-40(54(89)72-39(23-97-96-20-32(60)48(83)70-38)53(88)67-35(18-43(61)78)58(93)74-15-3-4-42(74)56(91)63-26)24-100-98-21-37(64-44(79)19-62-57(92)46(27(2)75)73-55(41)90)51(86)68-36(59(94)95)17-29-7-11-31(77)12-8-29/h5-12,26-27,32-42,46,75-77H,3-4,13-25,60H2,1-2H3,(H2,61,78)(H,62,92)(H,63,91)(H,64,79)(H,65,87)(H,66,84)(H,67,88)(H,68,86)(H,69,82)(H,70,83)(H,71,85)(H,72,89)(H,73,90)(H,80,81)(H,94,95)/t26-,27+,32-,33-,34-,35-,36-,37-,38-,39-,40-,41-,42-,46-/m0/s1	Cys cys glu tyr cys cys asn pro ala cys thr gly cys tyr (disulfide bridge: 1-6; 2-10; 5-13) ; L-Cysteinyl-L-cysteinyl-L-alpha-glutamyl-L-tyrosyl-L-cysteinyl-L-cysteinyl-L-asparaginyl-L-prolyl-L-alanyl-L-cysteinyl-L-threonylglycyl-L-cysteinyl-L-tyrosine cyclic (1->6),(2->10),(5->13)-tris(disulfide) ; Linaclotide ; Linzess	http://www.wikidata.org/entity/Q3832559
00445	epirubicin	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22-,27-/m0/s1	Epirubicin ; 4'-Epiadriamycin ; Epiadriamycin ; Epirubicina ; Epirubicine ; Epirubicinum ; Pidorubicina ; Pidorubicine ; Pidorubicinum	http://www.wikidata.org/entity/Q425122
00804	dicyclomine	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3	Dicyclomine ; 2-(Diethylamino)ethyl 1-cyclohexylcyclohexanecarboxylate ; Bentyl® ; Bicyclohexyl-1-carboxylic acid 2-diethylamino-ethyl ester ; Byclomine® ; Dicicloverina ; DICYCLOMINE ; Dicycloverin ; Dicycloverine ; Dicycloverinum	http://www.wikidata.org/entity/Q2662662
